Model_Name,Avg_Response_Length,Response_Count,Total_Adversarial_Count,Avg_Adversarial_Count
Anika,109.52127659574468,470,770.0,0.0
Derek,1027.30421686747,332,605.0,0.018072289156626505
Emma,525.1169154228855,402,751.0,0.0
Enrique,31.80168776371308,474,673.0,0.002109704641350211
George,33.47446808510638,470,712.0,0.002127659574468085
Maria,25.90681818181818,440,612.0,0.004545454545454545
Peter,790.8132780082988,482,687.0,0.04564315352697095
Philip,207.1488764044944,356,738.0,0.008426966292134831
Sarah,47.34689507494647,467,790.0,0.0
Talia,32.19915254237288,472,712.0,0.0
